Account,Region,PVC Namespace,PVC Name,EBS Volume ID,EBS Creation Date,Size in GB,EBS Type,IOPS (if any),Tags,Monthly cost,Yearly cost
700982990415,us-east-1,op-druid,var-op-druid-traces-0-data-0,vol-05872297ac6336ddf,2023-10-05 23:57:57.716000+00:00,1024,io1,10240,"[{'Key': 'CSIVolumeName', 'Value': 'pvc-b1e3ed92-eae0-4241-8697-837e81738565'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-b1e3ed92-eae0-4241-8697-837e81738565'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-b1e3ed92-eae0-4241-8697-837e81738565'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'var-op-druid-traces-0-data-0'}]",$81.92,$983.04
700982990415,us-east-1,op-druid,datalogdir-op-druid-zk-v1-0,vol-01cbe68580f2711e6,2023-07-24 23:27:38.715000+00:00,10,gp2,100,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-c66041a8-2478-4e3f-810d-b3d4cbb0e6db'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-c66041a8-2478-4e3f-810d-b3d4cbb0e6db'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-c66041a8-2478-4e3f-810d-b3d4cbb0e6db'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'datalogdir-op-druid-zk-v1-0'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}]",$0.80,$9.60
700982990415,us-east-1,data-exporter,persistent-sending-queue-traces-collector-0,vol-07782bb7428463cfb,2023-09-22 00:29:35.969000+00:00,1,gp2,100,"[{'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-5a331330-7a56-4b0c-ae0b-e9c8bdb39354'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-5a331330-7a56-4b0c-ae0b-e9c8bdb39354'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-traces-collector-0'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-5a331330-7a56-4b0c-ae0b-e9c8bdb39354'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}]",$0.08,$0.96
700982990415,us-east-1,op-druid,tmp-op-druid-meters-0-data-8,vol-0e40329a8e3f439e8,2023-10-05 23:56:33.407000+00:00,100,io1,1000,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-bfcbe497-ff37-4588-86f6-1054934ebfc6'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-bfcbe497-ff37-4588-86f6-1054934ebfc6'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-bfcbe497-ff37-4588-86f6-1054934ebfc6'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'tmp-op-druid-meters-0-data-8'}]",$8.00,$96.00
700982990415,us-east-1,data-exporter,persistent-sending-queue-logs-collector-2,vol-029d9ba482726ef17,2023-11-17 22:04:53.210000+00:00,1,gp2,100,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-955e5596-d563-4242-8ec4-79b251fd5ade'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-955e5596-d563-4242-8ec4-79b251fd5ade'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-logs-collector-2'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-955e5596-d563-4242-8ec4-79b251fd5ade'}]",$0.08,$0.96
700982990415,us-east-1,op-druid,tmp-op-druid-meters-0-data-7,vol-06195a1ee22e1dd63,2023-10-05 23:56:33.206000+00:00,100,io1,1000,"[{'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'tmp-op-druid-meters-0-data-7'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-37f4fd69-fc69-4170-84f8-6b84024ce433'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-37f4fd69-fc69-4170-84f8-6b84024ce433'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-37f4fd69-fc69-4170-84f8-6b84024ce433'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}]",$8.00,$96.00
700982990415,us-east-1,data-exporter,persistent-sending-queue-traces-collector-6,vol-0ef2f0bfb48eb0ca9,2024-02-01 20:28:30.946000+00:00,1,gp2,100,"[{'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-e235cc4e-d7ea-492d-baa4-ecfe99cbbe5a'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-traces-collector-6'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-e235cc4e-d7ea-492d-baa4-ecfe99cbbe5a'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-e235cc4e-d7ea-492d-baa4-ecfe99cbbe5a'}]",$0.08,$0.96
700982990415,us-east-1,data-exporter,persistent-sending-queue-logs-collector-1,vol-02a73f54b4ba7e366,2023-11-17 22:04:53.147000+00:00,1,gp2,100,"[{'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-logs-collector-1'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-46827152-addb-4e0c-9615-b495de0fc69f'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-46827152-addb-4e0c-9615-b495de0fc69f'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-46827152-addb-4e0c-9615-b495de0fc69f'}]",$0.08,$0.96
700982990415,us-east-1,data-exporter,persistent-sending-queue-logs-collector-5,vol-044354ad0255aa3ed,2023-11-17 22:04:53.348000+00:00,1,gp2,100,"[{'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'data-exporter'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-55e440c5-9152-4002-9289-9b0d9fdf09b5'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'persistent-sending-queue-logs-collector-5'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-55e440c5-9152-4002-9289-9b0d9fdf09b5'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-55e440c5-9152-4002-9289-9b0d9fdf09b5'}]",$0.08,$0.96
700982990415,us-east-1,op-druid,datadir-op-druid-zk-v1-4,vol-07d22d0bb013474a5,2023-07-24 23:29:50.322000+00:00,10,gp2,100,"[{'Key': 'kubernetes.io/created-for/pvc/name', 'Value': 'datadir-op-druid-zk-v1-4'}, {'Key': 'CSIVolumeName', 'Value': 'pvc-4dbfe5a7-a067-4b3b-8187-6c63f48120e9'}, {'Key': 'ebs.csi.aws.com/cluster', 'Value': 'true'}, {'Key': 'KubernetesCluster', 'Value': 'eks-us-east-1'}, {'Key': 'kubernetes.io/cluster/eks-us-east-1', 'Value': 'owned'}, {'Key': 'kubernetes.io/created-for/pvc/namespace', 'Value': 'op-druid'}, {'Key': 'kubernetes.io/created-for/pv/name', 'Value': 'pvc-4dbfe5a7-a067-4b3b-8187-6c63f48120e9'}, {'Key': 'Name', 'Value': 'eks-us-east-1-dynamic-pvc-4dbfe5a7-a067-4b3b-8187-6c63f48120e9'}]",$0.80,$9.60
